file_path,file_name,outlier_type,row_number,details
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,79,"time_ms=308.0,mz=67.45,dev=99.63"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW500000_TP22.csv,SF7_BW500000_TP22.csv,tx_interval_outlier,102,"time_ms=190.0,mz=12.14,dev=18.37"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW62500_TP2.csv,SF7_BW62500_TP2.csv,tx_interval_outlier,53,"time_ms=1650.0,mz=33.73,dev=100.29"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW62500_TP2.csv,SF7_BW62500_TP2.csv,tx_interval_outlier,101,"time_ms=1463.0,mz=29.34,dev=86.71"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF7\SF7_BW62500_TP2.csv,SF7_BW62500_TP2.csv,tx_interval_outlier,102,"time_ms=1463.0,mz=29.34,dev=86.71"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF8\SF8_BW125000_TP22.csv,SF8_BW125000_TP22.csv,payload_invalid,95,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF8\SF8_BW62500_TP12.csv,SF8_BW62500_TP12.csv,payload_invalid,67,PACKET_LOST
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW125000_TP12.csv,SF9_BW125000_TP12.csv,tx_interval_outlier,88,"time_ms=2788.0,mz=27.38,dev=99.86"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW125000_TP12.csv,SF9_BW125000_TP12.csv,tx_interval_outlier,102,"time_ms=2749.0,mz=16.86,dev=60.86"
C:\Users\ruben\Documents\LoRa Project\raw_dataset\distance_43.75m\SF9\SF9_BW250000_TP22.csv,SF9_BW250000_TP22.csv,payload_invalid,73,PACKET_LOST
